,PRSQM
PRSQM,1.0
G3,0.4193821291923377
CL,0.3687217034497131
CCTV,0.35616335948082223
YOC,0.32805628339582665
PSC,0.301094996272271
CH,0.27221770481611834
TEAC,0.2400130465104758
NOA85,0.2323488378133742
NOE,0.22068752518766657
CY,0.22038625286096727
NOCR,0.21987011509080745
NOB,0.20782128786358312
FLR,0.2061635075621456
NOH,0.19520134540846018
NOA135,0.17374988627324695
NOA136,0.1475289184585383
TP,0.04632247117701125
VHS,0.044135057139946914
PPH,0.008855433064968379
NOA60,-0.027728090704615828
SHS,-0.033191384873195326
ELD,-0.05013726044422132
GH,-0.07676699579192756
NOP,-0.08220532889316677
HSS,-0.08876276788037607
PNP,-0.11729962891537271
HSP,-0.12963073824980662
MLS,-0.12982621916269418
ELS,-0.133968686192662
CHS,-0.29679128748060857
AOA,-0.3009162552590882
RHS,-0.32726745062540197
