,count,mean,std,min,25%,50%,75%,max
FLR,557859.0,9.464538530345482,6.241361741717732,-4.0,5.0,9.0,13.0,68.0
YOC,557723.0,2000.958931225716,11.03797769516849,1971.0,1993.0,2000.0,2009.0,2023.0
PRSQM,557859.0,651.9439097447579,296.0351463059287,10.088781275221953,460.0484261501211,599.0363328558406,778.5773268845111,3625.021931382685
NOB,557828.0,14.36214209397879,15.94835415488234,1.0,5.0,9.0,17.0,122.0
NOA135,557859.0,199.2845647376846,339.1290704009039,0.0,0.0,56.0,264.0,2728.0
NOA136,557859.0,48.070937279850284,181.76935386017132,0.0,0.0,0.0,0.0,2094.0
NOA60,557859.0,469.0047682299649,579.2825618061314,0.0,68.0,267.0,660.0,3930.0
NOA85,557859.0,561.8909312209717,842.6441475580082,0.0,103.0,317.0,655.0,5132.0
NOH,557859.0,1278.2512014684714,1359.9540617950952,19.0,449.0,844.0,1588.0,9510.0
TEAC,557835.0,100518.95458607186,116076.30759816684,2296.31,32676.6,62938.8,117871.91,734780.75
NOE,552626.0,32.46050493462125,42.45206071987075,0.0,11.0,21.0,37.0,384.0
CCTV,556070.0,245.18028971172714,367.73103331432804,0.0,64.0,124.0,258.0,2685.0
HSP,557859.0,0.7834237683715778,0.6429813826848184,0.0,0.0,1.0,1.0,5.0
NOP,557859.0,0.7791036803206545,0.6840955905167326,0.0,0.0,1.0,1.0,5.0
PNP,557859.0,0.669805452632296,0.4702834301908971,0.0,0.0,1.0,1.0,1.0
ELS,557859.0,1.4189965564775329,1.2594813032575656,0.0,1.0,1.0,2.0,8.0
MLS,557859.0,1.0795200937871399,0.9633993770996172,0.0,0.0,1.0,1.0,6.0
HSS,557859.0,0.9939178179432437,1.061960810004229,0.0,0.0,1.0,1.0,8.0
PSC,555937.0,1363.0465466410762,1755.3578013972035,2.0,400.0,795.0,1507.0,12096.0
NOCR,498009.0,3972.2375278358422,1313.1813177955976,1860.0,3100.0,3656.0,4714.0,7513.0
RHS,498009.0,62.685782385333496,5.894586808292644,47.3,60.1,63.5,67.4,73.7
SHS,498009.0,31.134970853918407,33.72616762286666,0.0,0.0,22.1,66.6,87.6
VHS,498009.0,33.35243881134414,12.660931956429442,0.0,24.6,34.3,44.8,56.2
CHS,498009.0,57.652774146560574,13.955057084600265,0.0,52.0,59.4,65.0,82.9
GH,498009.0,2.1356260629827974,1.1073817654472708,0.0,1.0,2.0,3.0,4.0
CH,498009.0,11.39124192534673,8.0345230516209,2.0,6.0,8.0,16.0,33.0
CL,498009.0,463.69023250583825,398.31635495921694,128.0,257.0,350.0,410.0,1697.0
TP,498009.0,465475.521209456,112461.44716652732,152211.0,394364.0,454744.0,537800.0,682741.0
PPH,498009.0,2.265001736917825,0.16180084557655108,1.72,2.16,2.28,2.37,2.63
ELD,498009.0,70865.1137529643,15948.563221645818,26742.0,60577.0,71025.0,81715.0,103573.0
AOA,557859.0,18.576964788593532,10.990606032298974,-4.0,10.0,19.0,27.0,51.0
CY,557859.0,2020.0914890680262,1.4089260133825767,2018.0,2019.0,2020.0,2021.0,2022.0
G3,557859.0,0.22248991232551596,0.41591881579437,0.0,0.0,0.0,0.0,1.0
